Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Murcia, Región de;Identified Covid-19 virus;September;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;September;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;September;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;September;Women;Total;33
Murcia, Región de;Identified Covid-19 virus;September;Women;Hospital centre;27
Murcia, Región de;Identified Covid-19 virus;September;Women;Home;2
Murcia, Región de;Identified Covid-19 virus;September;Women;Health care home;4
Murcia, Región de;Identified Covid-19 virus;September;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;September;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;October;Total;Total;138
Murcia, Región de;Identified Covid-19 virus;October;Total;Hospital centre;115
Murcia, Región de;Identified Covid-19 virus;October;Total;Home;11
Murcia, Región de;Identified Covid-19 virus;October;Total;Health care home;12
Murcia, Región de;Identified Covid-19 virus;October;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;October;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;October;Men;Total;81
Murcia, Región de;Identified Covid-19 virus;October;Men;Hospital centre;68
Murcia, Región de;Identified Covid-19 virus;October;Men;Home;7
Murcia, Región de;Identified Covid-19 virus;October;Men;Health care home;6
Murcia, Región de;Identified Covid-19 virus;October;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;October;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;October;Women;Total;57
Murcia, Región de;Identified Covid-19 virus;October;Women;Hospital centre;47
Murcia, Región de;Identified Covid-19 virus;October;Women;Home;4
Murcia, Región de;Identified Covid-19 virus;October;Women;Health care home;6
Murcia, Región de;Identified Covid-19 virus;October;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;October;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;November;Total;Total;265
Murcia, Región de;Identified Covid-19 virus;November;Total;Hospital centre;207
Murcia, Región de;Identified Covid-19 virus;November;Total;Home;18
Murcia, Región de;Identified Covid-19 virus;November;Total;Health care home;39
Murcia, Región de;Identified Covid-19 virus;November;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;November;Total;Not specified;1
Murcia, Región de;Identified Covid-19 virus;November;Men;Total;150
Murcia, Región de;Identified Covid-19 virus;November;Men;Hospital centre;131
Murcia, Región de;Identified Covid-19 virus;November;Men;Home;9
Murcia, Región de;Identified Covid-19 virus;November;Men;Health care home;9
Murcia, Región de;Identified Covid-19 virus;November;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;November;Men;Not specified;1
Murcia, Región de;Identified Covid-19 virus;November;Women;Total;115
Murcia, Región de;Identified Covid-19 virus;November;Women;Hospital centre;76
Murcia, Región de;Identified Covid-19 virus;November;Women;Home;9
Murcia, Región de;Identified Covid-19 virus;November;Women;Health care home;30
Murcia, Región de;Identified Covid-19 virus;November;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;November;Women;Not specified;..
Murcia, Región de;Identified Covid-19 virus;December;Total;Total;116
Murcia, Región de;Identified Covid-19 virus;December;Total;Hospital centre;106
Murcia, Región de;Identified Covid-19 virus;December;Total;Home;9
Murcia, Región de;Identified Covid-19 virus;December;Total;Health care home;1
Murcia, Región de;Identified Covid-19 virus;December;Total;Other place;..
Murcia, Región de;Identified Covid-19 virus;December;Total;Not specified;..
Murcia, Región de;Identified Covid-19 virus;December;Men;Total;64
Murcia, Región de;Identified Covid-19 virus;December;Men;Hospital centre;60
Murcia, Región de;Identified Covid-19 virus;December;Men;Home;4
Murcia, Región de;Identified Covid-19 virus;December;Men;Health care home;..
Murcia, Región de;Identified Covid-19 virus;December;Men;Other place;..
Murcia, Región de;Identified Covid-19 virus;December;Men;Not specified;..
Murcia, Región de;Identified Covid-19 virus;December;Women;Total;52
Murcia, Región de;Identified Covid-19 virus;December;Women;Hospital centre;46
Murcia, Región de;Identified Covid-19 virus;December;Women;Home;5
Murcia, Región de;Identified Covid-19 virus;December;Women;Health care home;1
Murcia, Región de;Identified Covid-19 virus;December;Women;Other place;..
Murcia, Región de;Identified Covid-19 virus;December;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Total;32
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Hospital centre;10
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Home;13
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Health care home;9
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Total;19
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Hospital centre;9
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Home;7
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Health care home;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Total;13
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Hospital centre;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Home;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Health care home;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;Total;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;January;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Total;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Health care home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;February;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Total;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Home;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Health care home;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Total;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Home;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Health care home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Total;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Health care home;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;March;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Total;11
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Hospital centre;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Home;5
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Health care home;4
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Total;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Hospital centre;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Home;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Health care home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Total;5
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Hospital centre;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Home;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Health care home;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;April;Women;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Total;9
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Hospital centre;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Health care home;2
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Total;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Total;6
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Hospital centre;5
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Home;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Health care home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Other place;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Men;Not specified;..
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Women;Total;3
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Women;Hospital centre;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Women;Home;1
Murcia, Región de;Unidentified (suspected) COVID-19 virus;May;Women;Health care home;1
